databaseID,temporalSubjectText,temporalSubjectURI
3554251,"Civil War, 1861-1865",
3554258,"Civil War, 1861-1865",
3554265,"Civil War, 1861-1865",
3554271,"Civil War, 1861-1865",
3554278,"Civil War, 1861-1865",
3554286,"Civil War, 1861-1865",
3554294,"Civil War, 1861-1865",
3554305,"Civil War, 1861-1865",
3554311,"Civil War, 1861-1865",
3554316,"Civil War, 1861-1865",
3554324,"Civil War, 1861-1865",
3554329,"Civil War, 1861-1865",
3554337,"Civil War, 1861-1865",
3554345,"Civil War, 1861-1865",
3554350,"Civil War, 1861-1865",
3554361,"Civil War, 1861-1865",
3554370,"Civil War, 1861-1865",
3554376,"Civil War, 1861-1865",
3554384,"Civil War, 1861-1865",
3554392,"Civil War, 1861-1865",
3554396,"Civil War, 1861-1865",
3554406,"Civil War, 1861-1865",
3554412,"Civil War, 1861-1865",
3554420,"Civil War, 1861-1865",
3554427,"Civil War, 1861-1865",
3554434,"Civil War, 1861-1865",
3554442,"Civil War, 1861-1865",
3554450,"Civil War, 1861-1865",
3554458,"Civil War, 1861-1865",
3554464,"Civil War, 1861-1865",
3554471,"Civil War, 1861-1865",
3554480,"Civil War, 1861-1865",
3554493,"Civil War, 1861-1865",
3554502,"Civil War, 1861-1865",
3554506,"Civil War, 1861-1865",
3554516,"Civil War, 1861-1865",
3554521,"Civil War, 1861-1865",
3554529,"Civil War, 1861-1865",
3554536,"Civil War, 1861-1865",
3554543,"Civil War, 1861-1865",
3554550,"Civil War, 1861-1865",
3554557,"Civil War, 1861-1865",
3554563,"Civil War, 1861-1865",
3554570,"Civil War, 1861-1865",
3554577,"Civil War, 1861-1865",
3554586,"Civil War, 1861-1865",
3554591,"Civil War, 1861-1865",
3554598,"Civil War, 1861-1865",
3554608,"Civil War, 1861-1865",
3554612,"Civil War, 1861-1865",
3554619,"Civil War, 1861-1865",
3554627,"Civil War, 1861-1865",
3554631,"Civil War, 1861-1865",
3554639,"Civil War, 1861-1865",
3554643,"Civil War, 1861-1865",
3554650,"Civil War, 1861-1865",
3554656,"Civil War, 1861-1865",
3554663,"Civil War, 1861-1865",
3554671,"Civil War, 1861-1865",
3554675,"Civil War, 1861-1865",
3554683,"Civil War, 1861-1865",
3554689,"Civil War, 1861-1865",
3554695,"Civil War, 1861-1865",
3554703,"Civil War, 1861-1865",
3554709,"Civil War, 1861-1865",
3554715,"Civil War, 1861-1865",
3554725,"Civil War, 1861-1865",
3554732,"Civil War, 1861-1865",
3554739,"Civil War, 1861-1865",
3554744,"Civil War, 1861-1865",
3554750,"Civil War, 1861-1865",
3554759,"Civil War, 1861-1865",
3554763,"Civil War, 1861-1865",
3554772,"Civil War, 1861-1865",
3554780,"Civil War, 1861-1865",
3554787,"Civil War, 1861-1865",
3554795,"Civil War, 1861-1865",
3554803,"Civil War, 1861-1865",
3554809,"Civil War, 1861-1865",
3554814,"Civil War, 1861-1865",
3554822,"Civil War, 1861-1865",
3554826,"Civil War, 1861-1865",
3554832,"Civil War, 1861-1865",
3554839,"Civil War, 1861-1865",
3554847,"Civil War, 1861-1865",
3554852,"Civil War, 1861-1865",
3554859,"Civil War, 1861-1865",
3554868,"Civil War, 1861-1865",
3554877,"Civil War, 1861-1865",
3554882,"Civil War, 1861-1865",
3554889,"Civil War, 1861-1865",
3554897,"Civil War, 1861-1865",
3554903,"Civil War, 1861-1865",
3554909,"Civil War, 1861-1865",
3554919,"Civil War, 1861-1865",
3554923,"Civil War, 1861-1865",
3554928,"Civil War, 1861-1865",
3554937,"Civil War, 1861-1865",
3554942,"Civil War, 1861-1865",
3554951,"Civil War, 1861-1865",
3554958,"Civil War, 1861-1865",
3554964,"Civil War, 1861-1865",
3554971,"Civil War, 1861-1865",
3554978,"Civil War, 1861-1865",
3554983,"Civil War, 1861-1865",
3554990,"Civil War, 1861-1865",
3554994,"Civil War, 1861-1865",
3555002,"Civil War, 1861-1865",
3555005,"Civil War, 1861-1865",
3555013,"Civil War, 1861-1865",
3555020,"Civil War, 1861-1865",
3555026,"Civil War, 1861-1865",
3555035,"Civil War, 1861-1865",
3555043,"Civil War, 1861-1865",
3555050,"Civil War, 1861-1865",
3555060,"Civil War, 1861-1865",
3555069,"Civil War, 1861-1865",
3555075,"Civil War, 1861-1865",
3555084,"Civil War, 1861-1865",
3555091,"Civil War, 1861-1865",
3555099,"Civil War, 1861-1865",
3555110,"Civil War, 1861-1865",
3555129,"Civil War, 1861-1865",
3555135,"Civil War, 1861-1865",
3555145,"Civil War, 1861-1865",
3555153,"Civil War, 1861-1865",
3555160,"Civil War, 1861-1865",
